[2026-04-13 21:38:22] ERROR: Call to undefined function UltraLean\Core\app() in /mnt/d/Development/Web/wwwroot/pol/system/core/Middleware.php:47 | request_id=69dd1bfdafaa27.99404727 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 21:38:26] ERROR: Call to undefined method Closure::__set_state() in /mnt/d/Development/Web/wwwroot/pol/apps/default/storage/cache/middleware.php:3 | request_id=69dd1c0248a289.18738252 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 21:38:27] ERROR: Call to undefined method Closure::__set_state() in /mnt/d/Development/Web/wwwroot/pol/apps/default/storage/cache/middleware.php:3 | request_id=69dd1c03b8fa22.46251717 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 21:38:28] ERROR: Call to undefined method Closure::__set_state() in /mnt/d/Development/Web/wwwroot/pol/apps/default/storage/cache/middleware.php:3 | request_id=69dd1c04d3f4f0.81213088 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 21:38:36] ERROR: Call to undefined method Closure::__set_state() in /mnt/d/Development/Web/wwwroot/pol/apps/default/storage/cache/middleware.php:3 | request_id=69dd1c0c37c4e5.77222739 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 21:41:57] ERROR: Call to undefined method Closure::__set_state() in /mnt/d/Development/Web/wwwroot/pol/apps/default/storage/cache/middleware.php:3 | request_id=69dd1cd5bb7413.93228850 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 21:43:56] ERROR: Cannot assign int to property UltraLean\Core\Middleware::$middlewares of type array in /mnt/d/Development/Web/wwwroot/pol/system/core/Middleware.php:28 | request_id=69dd1d4c95e4e2.87504427 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 21:45:25] ERROR: Cannot assign int to property UltraLean\Core\Middleware::$middlewares of type array in /mnt/d/Development/Web/wwwroot/pol/system/core/Middleware.php:28 | request_id=69dd1da58f0d70.78936011 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 21:45:28] ERROR: Cannot assign int to property UltraLean\Core\Middleware::$middlewares of type array in /mnt/d/Development/Web/wwwroot/pol/system/core/Middleware.php:28 | request_id=69dd1da87768b1.92642839 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 21:45:33] ERROR: Cannot assign int to property UltraLean\Core\Middleware::$middlewares of type array in /mnt/d/Development/Web/wwwroot/pol/system/core/Middleware.php:28 | request_id=69dd1dad2075f1.41173204 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 21:45:59] ERROR: Call to undefined function App\Middleware\redirect() in /mnt/d/Development/Web/wwwroot/pol/apps/default/Middleware/AdminAuth.php:10 | request_id=69dd1dc6c86786.58517208 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 21:57:59] ERROR: Call to undefined method Closure::__set_state() in /mnt/d/Development/Web/wwwroot/pol/apps/default/storage/cache/middleware.php:3 | request_id=69dd20972d83b9.31043563 url=/admin/login method=GET ip=127.0.0.1
[2026-04-13 21:58:13] ERROR: Call to undefined method Closure::__set_state() in /mnt/d/Development/Web/wwwroot/pol/apps/default/storage/cache/middleware.php:3 | request_id=69dd20a5d4a5b4.68347318 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 17:04:04] ERROR: Call to undefined method Closure::__set_state() in /mnt/d/Development/Web/wwwroot/pol/apps/default/storage/cache/middleware.php:3 | request_id=69dd220461e2e2.38177123 url=/admin/home method=GET ip=127.0.0.1
[2026-04-13 17:07:57] ERROR: Call to undefined method Closure::__set_state() in /mnt/d/Development/Web/wwwroot/pol/apps/default/storage/cache/middleware.php:3 | request_id=69dd22ed784797.40474403 url=/admin/home method=GET ip=127.0.0.1
